Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Customer Booking till Payment Page,Chrome 80.0.3987.122,,,2020-03-06 11:24:44,2020-03-06 11:32:15,7m - 31.361s,FAILED
,,,,,,,
Test Cases/Web RoomMe.id/Customer Login,Chrome 80.0.3987.122,Customer login to RoomMe.id,login,2020-03-06 11:24:44,2020-03-06 11:25:03,19.268s,PASSED
"openBrowser("""")",Chrome 80.0.3987.122,,,2020-03-06 11:24:44,2020-03-06 11:24:50,6.385s,PASSED
"navigateToUrl(""https://web.roomme.id/"")",Chrome 80.0.3987.122,,,2020-03-06 11:24:50,2020-03-06 11:24:54,3.775s,PASSED
maximizeWindow(),Chrome 80.0.3987.122,,,2020-03-06 11:24:54,2020-03-06 11:24:58,4.163s,PASSED
"click(findTestObject(""Web RoomMe.id/Sign In Menu/Button Sign In (Homepage)""))",Chrome 80.0.3987.122,,,2020-03-06 11:24:58,2020-03-06 11:24:59,0.413s,PASSED
"verifyElementVisible(findTestObject(""Web RoomMe.id/Sign In Menu/Textfield Email""))",Chrome 80.0.3987.122,,,2020-03-06 11:24:59,2020-03-06 11:24:59,0.644s,PASSED
"verifyElementVisible(findTestObject(""Web RoomMe.id/Sign In Menu/Textfield Password""))",Chrome 80.0.3987.122,,,2020-03-06 11:24:59,2020-03-06 11:25:00,0.364s,PASSED
"verifyElementVisible(findTestObject(""Web RoomMe.id/Sign In Menu/Button Sign In""))",Chrome 80.0.3987.122,,,2020-03-06 11:25:00,2020-03-06 11:25:00,0.304s,PASSED
"verifyElementVisible(findTestObject(""Web RoomMe.id/Sign In Menu/Button Forgot Password""))",Chrome 80.0.3987.122,,,2020-03-06 11:25:00,2020-03-06 11:25:00,0.315s,PASSED
"setText(findTestObject(""Web RoomMe.id/Sign In Menu/Textfield Email""), ""hurujy@getnada.com"")",Chrome 80.0.3987.122,,,2020-03-06 11:25:00,2020-03-06 11:25:01,0.601s,PASSED
"setEncryptedText(findTestObject(""Web RoomMe.id/Sign In Menu/Textfield Password""), ""qeJ0sjJnwEs="")",Chrome 80.0.3987.122,,,2020-03-06 11:25:01,2020-03-06 11:25:02,0.615s,PASSED
"click(findTestObject(""Web RoomMe.id/Sign In Menu/Button Sign In""))",Chrome 80.0.3987.122,,,2020-03-06 11:25:02,2020-03-06 11:25:02,0.528s,PASSED
"verifyElementVisible(findTestObject(""Web RoomMe.id/Sign In Menu/Button User Menu""))",Chrome 80.0.3987.122,,,2020-03-06 11:25:02,2020-03-06 11:25:03,0.619s,PASSED
"btnusermenu = getText(findTestObject(""Web RoomMe.id/Sign In Menu/Button User Menu""))",Chrome 80.0.3987.122,,,2020-03-06 11:25:03,2020-03-06 11:25:03,0.308s,PASSED
,,,,,,,
Test Cases/Web RoomMe.id/Customer Search For Kost,Chrome 80.0.3987.122,customer search for kost from homepage by filtering in search box,search,2020-03-06 11:25:03,2020-03-06 11:26:14,1m - 10.850s,FAILED
"callTestCase(findTestCase(""Web RoomMe.id/Customer Login""), [:], STOP_ON_FAILURE)",Chrome 80.0.3987.122,,,2020-03-06 11:25:03,2020-03-06 11:25:22,18.746s,PASSED
