Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Customer Access FAQ Page,Chrome 80.0.3987.132,,,2020-03-13 16:52:12,2020-03-13 16:53:27,1m - 15.499s,PASSED
,,,,,,,
Test Cases/Web RoomMe.id/Customer Access FAQ (Booking) Page,Chrome 80.0.3987.132,,faq,2020-03-13 16:52:12,2020-03-13 16:52:49,37.568s,PASSED
"openBrowser("""")",Chrome 80.0.3987.132,,,2020-03-13 16:52:12,2020-03-13 16:52:20,8.052s,PASSED
"navigateToUrl(""https://web.roomme.id/"")",Chrome 80.0.3987.132,,,2020-03-13 16:52:20,2020-03-13 16:52:23,2.300s,PASSED
maximizeWindow(),Chrome 80.0.3987.132,,,2020-03-13 16:52:23,2020-03-13 16:52:27,4.210s,PASSED
"verifyElementVisible(findTestObject(""Web RoomMe.id/RoomMe.id Footer/Button FAQ""))",Chrome 80.0.3987.132,,,2020-03-13 16:52:27,2020-03-13 16:52:27,0.542s,PASSED
"click(findTestObject(""Web RoomMe.id/RoomMe.id Footer/Button FAQ""))",Chrome 80.0.3987.132,,,2020-03-13 16:52:27,2020-03-13 16:52:29,1.365s,PASSED
"callTestCase(findTestCase(""Web RoomMe.id/Verify Header RoomMe.id""), [:], STOP_ON_FAILURE)",Chrome 80.0.3987.132,,,2020-03-13 16:52:29,2020-03-13 16:52:31,2.169s,PASSED
"verifyElementVisible(findTestObject(""Web RoomMe.id/RoomMe.id FAQ Page/Button FAQs""))",Chrome 80.0.3987.132,,,2020-03-13 16:52:31,2020-03-13 16:52:31,0.352s,PASSED
"verifyElementVisible(findTestObject(""Web RoomMe.id/RoomMe.id FAQ Page/Button Terms  Conditions""))",Chrome 80.0.3987.132,,,2020-03-13 16:52:31,2020-03-13 16:52:32,0.317s,PASSED
"verifyElementVisible(findTestObject(""Web RoomMe.id/RoomMe.id FAQ Page/Button Terms of Use""))",Chrome 80.0.3987.132,,,2020-03-13 16:52:32,2020-03-13 16:52:32,0.309s,PASSED
"verifyElementVisible(findTestObject(""Web RoomMe.id/RoomMe.id FAQ Page/Button Disclaimer""))",Chrome 80.0.3987.132,,,2020-03-13 16:52:32,2020-03-13 16:52:33,0.525s,PASSED
"verifyElementVisible(findTestObject(""Web RoomMe.id/RoomMe.id FAQ Page/Button Privacy Policy""))",Chrome 80.0.3987.132,,,2020-03-13 16:52:33,2020-03-13 16:52:33,0.298s,PASSED
"verifyElementVisible(findTestObject(""Web RoomMe.id/RoomMe.id FAQ Page/Button Booking""))",Chrome 80.0.3987.132,,,2020-03-13 16:52:33,2020-03-13 16:52:34,0.720s,PASSED
"verifyElementVisible(findTestObject(""Web RoomMe.id/RoomMe.id FAQ Page/Button Payment""))",Chrome 80.0.3987.132,,,2020-03-13 16:52:34,2020-03-13 16:52:34,0.293s,PASSED
"verifyElementVisible(findTestObject(""Web RoomMe.id/RoomMe.id FAQ Page/Button Q1""))",Chrome 80.0.3987.132,,,2020-03-13 16:52:34,2020-03-13 16:52:34,0.301s,PASSED
"verifyElementText(findTestObject(""Web RoomMe.id/RoomMe.id FAQ Page/Button Q1""), ""Can I make a room booking at kost RoomMe ?"")",Chrome 80.0.3987.132,,,2020-03-13 16:52:34,2020-03-13 16:52:34,0.321s,PASSED
"verifyElementVisible(findTestObject(""Web RoomMe.id/RoomMe.id FAQ Page/Text A1""))",Chrome 80.0.3987.132,,,2020-03-13 16:52:34,2020-03-13 16:52:35,0.327s,PASSED
"verifyElementText(findTestObject(""Web RoomMe.id/RoomMe.id FAQ Page/Text A1""), ""Yes, you can browse through ourlisting for available rooms."")",Chrome 80.0.3987.132,,,2020-03-13 16:52:35,2020-03-13 16:52:35,0.298s,PASSED
"verifyElementVisible(findTestObject(""Web RoomMe.id/RoomMe.id FAQ Page/Button Q2""))",Chrome 80.0.3987.132,,,2020-03-13 16:52:35,2020-03-13 16:52:35,0.286s,PASSED
"verifyElementText(findTestObject(""Web RoomMe.id/RoomMe.id FAQ Page/Button Q2""), ""Can I survey the place prior to making payments ?"")",Chrome 80.0.3987.132,,,2020-03-13 16:52:35,2020-03-13 16:52:36,0.299s,PASSED
"click(findTestObject(""Web RoomMe.id/RoomMe.id FAQ Page/Button Q2""))",Chrome 80.0.3987.132,,,2020-03-13 16:52:36,2020-03-13 16:52:36,0.390s,PASSED
"verifyElementVisible(findTestObject(""Web RoomMe.id/RoomMe.id FAQ Page/Text A2""))",Chrome 80.0.3987.132,,,2020-03-13 16:52:36,2020-03-13 16:52:37,0.872s,PASSED
"verifyElementText(findTestObject(""Web RoomMe.id/RoomMe.id FAQ Page/Text A2""), ""Yes you may and we encourage you to do so! Our survey sessions are held every Monday-Sunday, from 8AM-10PM"")",Chrome 80.0.3987.132,,,2020-03-13 16:52:37,2020-03-13 16:52:37,0.294s,PASSED
"verifyElementVisible(findTestObject(""Web RoomMe.id/RoomMe.id FAQ Page/Button Q3""))",Chrome 80.0.3987.132,,,2020-03-13 16:52:37,2020-03-13 16:52:38,0.291s,PASSED
"verifyElementText(findTestObject(""Web RoomMe.id/RoomMe.id FAQ Page/Button Q3""), ""What consist of the standard facilities provided by RoomMe ?"")",Chrome 80.0.3987.132,,,2020-03-13 16:52:38,2020-03-13 16:52:38,0.281s,PASSED
"click(findTestObject(""Web RoomMe.id/RoomMe.id FAQ Page/Button Q3""))",Chrome 80.0.3987.132,,,2020-03-13 16:52:38,2020-03-13 16:52:38,0.347s,PASSED
"verifyElementVisible(findTestObject(""Web RoomMe.id/RoomMe.id FAQ Page/Text A3""))",Chrome 80.0.3987.132,,,2020-03-13 16:52:38,2020-03-13 16:52:39,0.383s,PASSED
"verifyElementText(findTestObject(""Web RoomMe.id/RoomMe.id FAQ Page/Text A3""), id FAQ Text Data"").getValue(1, 1))",Chrome 80.0.3987.132,,,2020-03-13 16:52:39,2020-03-13 16:52:40,1.180s,PASSED
