Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Customer Access About RooMe Page,Firefox 75.0,,,2020-04-15 09:25:13,2020-04-15 09:26:07,53.766s,PASSED
,,,,,,,
Test Cases/Web RoomMe.id/5. About RoomMe/Customer Access About Us Page,Firefox 75.0,Customer access about us page from homepage footer,aboutus,2020-04-15 09:25:13,2020-04-15 09:25:36,22.308s,PASSED
"callTestCase(findTestCase(""Web RoomMe.id/1. Homepage/1. Customer Access RoomMe Page""), [:], STOP_ON_FAILURE)",Firefox 75.0,,,2020-04-15 09:25:14,2020-04-15 09:25:27,13.026s,PASSED
"verifyElementVisible(findTestObject(""Web RoomMe.id/RoomMe.id Footer/Button About Us""))",Firefox 75.0,,,2020-04-15 09:25:27,2020-04-15 09:25:28,0.849s,PASSED
"click(findTestObject(""Web RoomMe.id/RoomMe.id Footer/Button About Us""))",Firefox 75.0,,,2020-04-15 09:25:28,2020-04-15 09:25:34,6.087s,PASSED
"callTestCase(findTestCase(""Web RoomMe.id/1. Homepage/2. Verify Header RoomMe.id""), [:], STOP_ON_FAILURE)",Firefox 75.0,,,2020-04-15 09:25:34,2020-04-15 09:25:34,0.002s,NOT_RUN
"callTestCase(findTestCase(""Web RoomMe.id/5. About RoomMe/Verify About Us Page""), [:], STOP_ON_FAILURE)",Firefox 75.0,,,2020-04-15 09:25:34,2020-04-15 09:25:36,2.083s,PASSED
"callTestCase(findTestCase(""Web RoomMe.id/1. Homepage/7. Verify Footer RoomMe.id""), [:], STOP_ON_FAILURE)",Firefox 75.0,,,2020-04-15 09:25:36,2020-04-15 09:25:36,0.000s,NOT_RUN
,,,,,,,
Test Cases/Web RoomMe.id/5. About RoomMe/Verify About Us Page,Firefox 75.0,verify about us page element,,2020-04-15 09:25:36,2020-04-15 09:25:37,1.336s,PASSED
