Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Customer Search For Kost,Firefox 75.0,,,2020-04-27 02:29:59,2020-04-27 02:32:52,2m - 53.424s,PASSED
,,,,,,,
Test Cases/Web RoomMe.id/8. Search for Kost/1. Customer Search For Kost 1 Month 0 Day,Firefox 75.0,customer search for kost from homepage by filtering in search box,search,2020-04-27 02:29:59,2020-04-27 02:30:21,21.606s,PASSED
"callTestCase(findTestCase(""Web RoomMe.id/1. Homepage/1. Customer Access RoomMe Page""), [:], STOP_ON_FAILURE)",Firefox 75.0,,,2020-04-27 02:30:00,2020-04-27 02:30:12,12.027s,PASSED
"sendKeys(findTestObject(""Web RoomMe.id/Search Kost Menu/Textfield Input Location""), ""jakarta"")",Firefox 75.0,,,2020-04-27 02:30:12,2020-04-27 02:30:14,1.754s,PASSED
"click(findTestObject(""Web RoomMe.id/Search Kost Menu/Text Location Suggestion""))",Firefox 75.0,,,2020-04-27 02:30:14,2020-04-27 02:30:15,1.225s,PASSED
"click(findTestObject(""Web RoomMe.id/Search Kost Menu/Datepicker Check-in""))",Firefox 75.0,,,2020-04-27 02:30:15,2020-04-27 02:30:16,0.667s,PASSED
"click(findTestObject(""Object Repository/Web RoomMe.id/Search Kost Menu/Day Pick""))",Firefox 75.0,,,2020-04-27 02:30:16,2020-04-27 02:30:16,0.823s,PASSED
"click(findTestObject(""Object Repository/Web RoomMe.id/Search Kost Menu/Button Duration""))",Firefox 75.0,,,2020-04-27 02:30:16,2020-04-27 02:30:17,0.736s,PASSED
"click(findTestObject(""Object Repository/Web RoomMe.id/Search Kost Menu/Button 1 Month""))",Firefox 75.0,,,2020-04-27 02:30:17,2020-04-27 02:30:18,0.630s,PASSED
"click(findTestObject(""Object Repository/Web RoomMe.id/Search Kost Menu/Button Additional""))",Firefox 75.0,,,2020-04-27 02:30:18,2020-04-27 02:30:18,0.626s,PASSED
"click(findTestObject(""Object Repository/Web RoomMe.id/Search Kost Menu/Button 1 Day""))",Firefox 75.0,,,2020-04-27 02:30:18,2020-04-27 02:30:18,0.003s,NOT_RUN
"click(findTestObject(""Object Repository/Web RoomMe.id/Search Kost Menu/Button Search""))",Firefox 75.0,,,2020-04-27 02:30:18,2020-04-27 02:30:21,2.355s,PASSED
"verifyElementVisible(findTestObject(""Web RoomMe.id/Search Result Menu/Field Facilities""))",Firefox 75.0,,,2020-04-27 02:30:21,2020-04-27 02:30:21,0.002s,NOT_RUN
"verifyElementVisible(findTestObject(""Web RoomMe.id/Search Result Menu/Text Nama Kost""))",Firefox 75.0,,,2020-04-27 02:30:21,2020-04-27 02:30:21,0.002s,NOT_RUN
"verifyElementVisible(findTestObject(""Web RoomMe.id/Search Result Menu/div_Submit_col-md-4 img-s""))",Firefox 75.0,,,2020-04-27 02:30:21,2020-04-27 02:30:21,0.001s,NOT_RUN
"verifyElementVisible(findTestObject(""Web RoomMe.id/Search Result Menu/div_Rp1400000""))",Firefox 75.0,,,2020-04-27 02:30:21,2020-04-27 02:30:21,0.000s,NOT_RUN
"verifyElementVisible(findTestObject(""Web RoomMe.id/Search Result Menu/Image Kost""))",Firefox 75.0,,,2020-04-27 02:30:21,2020-04-27 02:30:21,0.000s,NOT_RUN
waitForPageLoad(0),Firefox 75.0,,,2020-04-27 02:30:21,2020-04-27 02:30:21,0.029s,PASSED
,,,,,,,
Test Cases/Web RoomMe.id/8. Search for Kost/2. Customer Search For Kost 1 Month 1 Day,Firefox 75.0,,,2020-04-27 02:30:21,2020-04-27 02:30:51,29.758s,PASSED
"callTestCase(findTestCase(""Web RoomMe.id/1. Homepage/1. Customer Access RoomMe Page""), [:], STOP_ON_FAILURE)",Firefox 75.0,,,2020-04-27 02:30:21,2020-04-27 02:30:41,20.358s,PASSED
"sendKeys(findTestObject(""Web RoomMe.id/Search Kost Menu/Textfield Input Location""), ""jakarta"")",Firefox 75.0,,,2020-04-27 02:30:41,2020-04-27 02:30:43,1.854s,PASSED
"click(findTestObject(""Web RoomMe.id/Search Kost Menu/Text Location Suggestion""))",Firefox 75.0,,,2020-04-27 02:30:43,2020-04-27 02:30:44,1.084s,PASSED
"click(findTestObject(""Web RoomMe.id/Search Kost Menu/Datepicker Check-in""))",Firefox 75.0,,,2020-04-27 02:30:44,2020-04-27 02:30:45,0.775s,PASSED
"click(findTestObject(""Object Repository/Web RoomMe.id/Search Kost Menu/Day Pick""))",Firefox 75.0,,,2020-04-27 02:30:45,2020-04-27 02:30:46,0.792s,PASSED
"click(findTestObject(""Object Repository/Web RoomMe.id/Search Kost Menu/Button Duration""))",Firefox 75.0,,,2020-04-27 02:30:46,2020-04-27 02:30:47,0.795s,PASSED
"click(findTestObject(""Object Repository/Web RoomMe.id/Search Kost Menu/Button 1 Month""))",Firefox 75.0,,,2020-04-27 02:30:47,2020-04-27 02:30:47,0.575s,PASSED
"click(findTestObject(""Object Repository/Web RoomMe.id/Search Kost Menu/Button Additional""))",Firefox 75.0,,,2020-04-27 02:30:47,2020-04-27 02:30:48,0.512s,PASSED
"click(findTestObject(""Object Repository/Web RoomMe.id/Search Kost Menu/Button 1 Day""))",Firefox 75.0,,,2020-04-27 02:30:48,2020-04-27 02:30:48,0.575s,PASSED
"click(findTestObject(""Object Repository/Web RoomMe.id/Search Kost Menu/Button Search""))",Firefox 75.0,,,2020-04-27 02:30:48,2020-04-27 02:30:50,2.154s,PASSED
"verifyElementVisible(findTestObject(""Web RoomMe.id/Search Result Menu/Field Facilities""))",Firefox 75.0,,,2020-04-27 02:30:50,2020-04-27 02:30:50,0.001s,NOT_RUN
"verifyElementVisible(findTestObject(""Web RoomMe.id/Search Result Menu/Text Nama Kost""))",Firefox 75.0,,,2020-04-27 02:30:50,2020-04-27 02:30:50,0.001s,NOT_RUN
"verifyElementVisible(findTestObject(""Web RoomMe.id/Search Result Menu/div_Submit_col-md-4 img-s""))",Firefox 75.0,,,2020-04-27 02:30:50,2020-04-27 02:30:50,0.001s,NOT_RUN
"verifyElementVisible(findTestObject(""Web RoomMe.id/Search Result Menu/div_Rp1400000""))",Firefox 75.0,,,2020-04-27 02:30:50,2020-04-27 02:30:50,0.001s,NOT_RUN
"verifyElementVisible(findTestObject(""Web RoomMe.id/Search Result Menu/Image Kost""))",Firefox 75.0,,,2020-04-27 02:30:50,2020-04-27 02:30:50,0.001s,NOT_RUN
waitForPageLoad(0),Firefox 75.0,,,2020-04-27 02:30:50,2020-04-27 02:30:51,0.038s,PASSED
,,,,,,,
Test Cases/Web RoomMe.id/8. Search for Kost/3. Customer Search For Kost 1 Month 2 Days,Firefox 75.0,,,2020-04-27 02:30:51,2020-04-27 02:31:21,30.054s,PASSED
"callTestCase(findTestCase(""Web RoomMe.id/1. Homepage/1. Customer Access RoomMe Page""), [:], STOP_ON_FAILURE)",Firefox 75.0,,,2020-04-27 02:30:51,2020-04-27 02:31:11,20.100s,PASSED
"sendKeys(findTestObject(""Web RoomMe.id/Search Kost Menu/Textfield Input Location""), ""jakarta"")",Firefox 75.0,,,2020-04-27 02:31:11,2020-04-27 02:31:13,1.832s,PASSED
